State,Population (total inhabitants) (2015) [2],Murders and Nonnegligent Manslaughter (total deaths) (2015) [1],Murders (total deaths) (2015) [3],Gun Murders (total deaths) (2015) [3],Gun Ownership (%) (2013) [4],"Murder and Nonnegligent Manslaughter Rate (per 100,000) (2015)","Murder Rate (per 100,000) (2015)","Gun Murder Rate (per 100,000) (2015)"
Alabama,"4,853,875",348.0,,,48.9,7.2,,
Alaska,"737,709",59.0,57.0,39.0,61.7,8.0,7.7,5.3
Arizona,"6,817,565",306.0,278.0,171.0,32.3,4.5,4.1,2.5
Arkansas,"2,977,853",181.0,164.0,110.0,57.9,6.1,5.5,3.7
California,"38,993,940",,,,20.1,4.8,4.8,3.3
Colorado,"5,448,819",176.0,176.0,115.0,34.3,3.2,3.2,2.1
Connecticut,"3,584,730",117.0,107.0,73.0,16.6,3.3,3.0,2.0
Delaware,"944,076",63.0,63.0,52.0,5.2,6.7,6.7,5.5
District of Columbia,"670,377",162.0,162.0,121.0,25.9,24.2,24.2,18.0
Florida,"20,244,914",,,,32.5,5.1,,
Georgia,"10,199,398",615.0,565.0,464.0,31.6,6.0,5.5,4.5
Hawaii,"1,425,157",19.0,19.0,4.0,45.1,1.3,1.3,0.3
Idaho,"1,652,828",32.0,30.0,24.0,56.9,1.9,1.8,1.5
Illinois,"12,859,995[5]",744.0,497.0,440.0,26.2,5.8,3.9,3.4
Indiana,"6,612,768",373.0,272.0,209.0,33.8,5.6,4.1,3.2
Iowa,"3,121,997",72.0,72.0,49.0,33.8,2.3,2.3,1.6
Kansas,"2,906,721",128.0,125.0,91.0,32.2,4.4,4.3,3.1
Kentucky,"4,424,611",209.0,209.0,141.0,42.4,4.7,4.7,3.2
Louisiana,"4,668,960",481.0,474.0,379.0,44.5,10.3,10.2,8.1
Maine,"1,329,453",23.0,23.0,16.0,22.6,1.7,1.7,1.2
Maryland,"5,994,983",516.0,372.0,279.0,20.7,8.6,6.2,4.7
Massachusetts,"6,784,240",128.0,126.0,81.0,22.6,1.9,1.9,1.2
Michigan,"9,917,715",571.0,571.0,389.0,28.8,5.8,5.8,3.9
Minnesota,"5,482,435",133.0,133.0,79.0,36.7,2.4,2.4,1.4
Mississippi,"2,989,390",259.0,159.0,126.0,42.8,8.7,5.3,4.2
Missouri,"6,076,204",502.0,499.0,418.0,27.1,8.3,8.2,6.9
Montana,"1,032,073",36.0,36.0,18.0,52.3,3.5,3.5,1.7
Nebraska,"1,893,765",62.0,61.0,43.0,19.8,3.3,3.2,2.3
Nevada,"2,883,758",178.0,177.0,113.0,37.5,6.2,6.1,3.9
New Hampshire,"1,330,111",14.0,14.0,8.0,14.4,1.1,1.1,0.6
New Jersey,"8,935,421",363.0,353.0,255.0,11.3,4.1,4.0,2.9
New Mexico,"2,080,328",117.0,94.0,56.0,49.9,5.6,4.5,2.7
New York,"19,747,183",609.0,611.0,383.0,10.3,3.1,3.1,1.9
North Carolina,"10,035,186",517.0,506.0,353.0,28.7,5.2,5.0,3.5
North Dakota,"756,835",21.0,17.0,9.0,47.9,2.8,2.2,1.2
Ohio,"11,605,090",500.0,480.0,316.0,19.6,4.3,4.1,2.7
Oklahoma,"3,907,414",234.0,233.0,149.0,31.2,6.0,6.0,3.8
Oregon,"4,024,634",99.0,71.0,34.0,26.6,2.5,1.8,0.8
Pennsylvania,"12,791,904",658.0,651.0,497.0,27.1,5.1,5.1,3.9
Rhode Island,"1,055,607",29.0,27.0,10.0,5.8,2.7,2.6,0.9
South Carolina,"4,894,834",399.0,394.0,312.0,44.4,8.2,8.0,6.4
South Dakota,"857,919",32.0,27.0,12.0,35.0,3.7,3.1,1.4
Tennessee,"6,595,056",406.0,402.0,297.0,39.4,6.2,6.1,4.5
Texas,"27,429,639",,,906.0,35.7,4.8,4.7,3.3
Utah,"2,990,632",54.0,54.0,34.0,31.9,1.8,1.8,1.1
Vermont,"626,088",10.0,10.0,8.0,28.8,1.6,1.6,1.3
Virginia,"8,367,587",383.0,383.0,275.0,29.3,4.6,4.6,3.3
Washington,"7,160,290",211.0,209.0,141.0,27.7,2.9,2.9,2.0
West Virginia,"1,841,053",70.0,57.0,30.0,54.2,3.8,3.1,1.6
Wisconsin,"5,767,891",240.0,238.0,170.0,34.7,4.2,4.1,2.9
Wyoming,"586,107",16.0,16.0,10.0,53.8,2.56,2.7,1.7
